City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kisaran,100,ID,2022-08-26 03:23:42,70,2.9845,99.6158,82.18,2.28
1,Rocha,87,UY,2022-08-26 03:23:43,98,-34.4833,-54.3333,60.35,4.41
2,Albany,53,US,2022-08-26 03:23:45,89,42.6001,-73.9662,71.06,3.09
3,Natal,0,BR,2022-08-26 03:22:32,83,-5.795,-35.2094,73.62,5.75
4,San Quintin,1,MX,2022-08-26 03:23:45,84,30.4833,-115.95,71.69,7.94
5,Tuktoyaktuk,100,CA,2022-08-26 03:23:46,100,69.4541,-133.0374,53.6,9.22
6,Fort Nelson,75,CA,2022-08-26 03:23:47,50,58.8053,-122.7002,78.39,5.75
7,La Solana,2,ES,2022-08-26 03:23:47,44,38.9442,-3.2381,70.56,2.86
8,Kaitangata,0,NZ,2022-08-26 03:23:48,54,-46.2817,169.8464,53.35,2.59
9,Lebu,88,CL,2022-08-26 03:23:48,86,-37.6167,-73.65,46.26,16.4
10,Deputatskiy,30,RU,2022-08-26 03:23:49,49,69.3,139.9,53.94,2.13
11,Seidu,72,SL,2022-08-26 03:23:50,99,9.0167,-10.6,66.7,1.7
12,Mahebourg,40,MU,2022-08-26 03:23:52,68,-20.4081,57.7,70.09,9.22
13,Punta Arenas,75,CL,2022-08-26 03:21:32,93,-53.15,-70.9167,35.71,18.41
14,Alencon,29,FR,2022-08-26 03:23:55,96,48.4333,0.0833,57.94,5.99
15,Borgarnes,93,IS,2022-08-26 03:23:55,87,64.5383,-21.9206,46.45,7.31
16,Tiksi,70,RU,2022-08-26 03:23:57,55,71.6872,128.8694,51.46,6.22
17,Sakakah,0,SA,2022-08-26 03:23:57,19,29.9697,40.2064,80.17,7.38
18,Nanortalik,100,GL,2022-08-26 03:23:59,93,60.1432,-45.2371,43.79,11.1
19,Hermanus,36,ZA,2022-08-26 03:23:59,71,-34.4187,19.2345,51.71,10.54
20,Tignere,100,CM,2022-08-26 03:23:59,96,7.3667,12.65,62.46,1.54
21,Thompson,75,CA,2022-08-26 03:24:01,100,55.7435,-97.8558,51.96,2.3
22,Yellowknife,75,CA,2022-08-26 03:24:01,68,62.456,-114.3525,68.56,6.91
23,Rikitea,80,PF,2022-08-26 03:24:02,60,-23.1203,-134.9692,67.14,23.24
24,Castro,5,BR,2022-08-26 03:24:02,88,-24.7911,-50.0119,54.25,2.73
25,Ruidoso,63,US,2022-08-26 03:24:03,59,33.3317,-105.673,66.96,5.75
26,Kavaratti,71,IN,2022-08-26 03:24:06,77,10.5669,72.642,80.85,18.28
27,Riohacha,4,CO,2022-08-26 03:24:06,85,11.5444,-72.9072,80.29,10.31
28,Pisco,100,PE,2022-08-26 03:24:07,88,-13.7,-76.2167,59.05,5.75
29,Cayenne,0,GF,2022-08-26 03:24:07,94,4.9333,-52.3333,75.24,0.0
30,Chapais,99,CA,2022-08-26 03:24:08,69,49.7834,-74.8492,47.98,2.35
31,Urumqi,0,CN,2022-08-26 03:24:08,31,43.801,87.6005,70.75,2.24
32,Mataura,0,NZ,2022-08-26 03:24:09,45,-46.1927,168.8643,54.48,0.43
33,Upernavik,95,GL,2022-08-26 03:24:09,87,72.7868,-56.1549,41.63,7.4
34,Norman Wells,75,CA,2022-08-26 03:24:09,72,65.282,-126.8329,66.24,5.75
35,Ribeira Grande,36,PT,2022-08-26 03:24:10,74,38.5167,-28.7,73.4,7.9
36,Inzer,29,RU,2022-08-26 03:24:10,82,54.2167,57.5556,65.16,1.07
37,Kapaa,100,US,2022-08-26 03:24:10,85,22.0752,-159.319,80.92,4.61
38,Kodiak,0,US,2022-08-26 03:24:11,67,57.79,-152.4072,60.31,11.5
39,Mar Del Plata,0,AR,2022-08-26 03:22:05,91,-38.0023,-57.5575,49.08,7.0
40,Shirak,4,AM,2022-08-26 03:24:12,51,40.8404,43.9158,55.72,2.3
41,Hithadhoo,100,MV,2022-08-26 03:24:12,78,-0.6,73.0833,79.65,8.9
42,Vaini,20,TO,2022-08-26 03:24:12,89,-21.2,-175.2,78.96,10.36
43,Hobart,20,AU,2022-08-26 03:24:13,68,-42.8794,147.3294,60.06,10.36
44,Barrow,75,US,2022-08-26 03:24:13,71,71.2906,-156.7887,53.62,10.36
45,Busselton,11,AU,2022-08-26 03:24:14,61,-33.65,115.3333,62.22,7.74
46,Codrington,100,AU,2022-08-26 03:24:14,72,-38.2667,141.9667,52.36,3.62
47,Khatanga,100,RU,2022-08-26 03:22:18,87,71.9667,102.5,43.32,14.27
48,Provideniya,100,RU,2022-08-26 03:24:02,100,64.3833,-173.3,50.36,8.99
49,Ostrovnoy,91,RU,2022-08-26 03:25:15,88,68.0531,39.5131,49.33,7.38
50,Hambantota,20,LK,2022-08-26 03:25:15,89,6.1241,81.1185,82.74,12.66
51,Saint-Philippe,35,RE,2022-08-26 03:24:04,80,-21.3585,55.7679,65.21,11.12
52,Cape Town,40,ZA,2022-08-26 03:22:51,70,-33.9258,18.4232,59.38,5.75
53,Sovetskiy,63,RU,2022-08-26 03:24:48,72,61.3614,63.5842,63.25,10.07
54,Jamestown,0,US,2022-08-26 03:25:17,89,42.097,-79.2353,69.03,1.01
55,Tortoli,0,IT,2022-08-26 03:25:18,47,39.9256,9.6572,76.82,8.05
56,Tasiilaq,63,GL,2022-08-26 03:25:18,76,65.6145,-37.6368,32.83,3.96
57,Sorong,5,ID,2022-08-26 03:25:19,73,-0.8833,131.25,82.78,2.42
58,Swan River,6,CA,2022-08-26 03:25:19,82,52.1058,-101.2676,66.09,8.05
