City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
620,Nakonde,ZM,-9.3421,32.745,54.64,76,17,5.06,few clouds
621,Vilhena,BR,-12.7406,-60.1458,81.63,34,67,3.67,broken clouds
622,Thonon-Les-Bains,FR,46.25,6.5,57.69,79,0,3.29,clear sky
623,Januaria,BR,-15.4833,-44.3667,75.11,31,6,2.17,clear sky
624,Chany,RU,55.3121,76.7647,51.3,66,3,8.84,clear sky
625,Moose Factory,CA,51.2585,-80.6094,71.71,74,100,15.12,overcast clouds
626,Vanimo,PG,-2.6741,141.3028,83.77,69,96,6.33,light rain
627,Balkhash,KZ,46.844,74.9804,60.67,39,0,15.5,clear sky
628,Pionerskiy,RU,54.9508,20.2275,69.75,86,88,14.79,overcast clouds
629,Conceicao Do Araguaia,BR,-8.2578,-49.2647,78.01,26,24,3.27,few clouds
630,Baheri,IN,28.7833,79.5,77.16,94,95,7.43,overcast clouds
631,Lorengau,PG,-2.0226,147.2712,82.74,79,100,12.37,overcast clouds
632,Maningrida,AU,-12.0667,134.2667,83.57,60,12,9.4,few clouds
633,Tlacolula,MX,16.9542,-96.4792,61.47,80,96,4.81,overcast clouds
634,Staraya Sunzha,RU,43.3372,45.7422,72.16,53,0,0.0,clear sky
635,Ostersund,SE,63.1792,14.6357,48.65,87,100,9.22,overcast clouds
636,Marsh Harbour,BS,26.5412,-77.0636,84.18,72,13,12.68,few clouds
637,Ruwi,OM,23.5996,58.5507,84.33,57,14,2.66,few clouds
638,Andilamena,MG,-17.0167,48.5833,52.75,96,31,2.95,scattered clouds
639,Praia,CV,14.9215,-23.5087,78.35,82,83,15.68,light rain
640,Lundazi,ZM,-12.2929,33.1782,62.06,54,2,7.14,clear sky
641,Pedernales,DO,18.0384,-71.744,82.8,70,77,11.21,broken clouds
642,Anori,BR,-3.7728,-61.6442,73.56,95,75,0.87,broken clouds
643,Springbok,ZA,-29.6643,17.8865,38.44,79,0,4.03,clear sky
644,Portsmouth,GB,50.799,-1.0913,63.97,87,100,5.01,overcast clouds
645,Ust-Maya,RU,60.4167,134.5333,57.07,63,100,2.39,overcast clouds
646,Alekseyevsk,RU,57.8406,108.3492,43.45,92,94,9.66,light rain
647,Yaqui,MX,27.3667,-110.1667,90.14,57,78,8.41,broken clouds
648,Edson,CA,53.5835,-116.4356,64.85,47,96,5.5,overcast clouds
